id,month-12,month-11,month-10,month-9,month-8,month-7,month-6,month-5,month-4,month-3,month-2,month-1
138,4,4,4,4,1,1,1,1,1,1,4,4
140,1,1,1,1,1,1,1,1,1,1,1,1
143,3,3,3,4,4,4,3,3,3,3,3,3
144,3,3,3,3,3,3,3,3,4,4,4,4
147,1,1,1,3,3,3,3,3,3,3,3,5
149,1,1,1,1,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1,1,1,1,4
157,1,1,1,1,1,1,1,1,1,1,3,3
158,1,1,1,1,1,1,1,3,3,3,3,3
160,1,1,1,1,1,1,1,1,1,1,1,1
161,1,3,3,3,3,3,3,3,3,3,5,5
165,1,1,1,1,1,1,1,1,1,1,1,3
172,4,4,4,4,4,4,4,4,4,4,4,4
174,1,1,1,1,1,1,1,1,1,1,1,1
175,4,4,4,4,4,4,4,3,3,3,3,3
179,1,1,1,1,1,1,3,3,5,5,5,5
180,4,4,4,4,4,4,4,4,4,4,4,4
183,1,1,1,1,1,1,1,1,4,1,4,4
186,1,1,1,1,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1,1,4,4,4
190,4,4,4,4,4,4,4,4,4,4,4,4
192,1,1,1,1,1,1,1,1,1,1,1,5
197,1,1,1,1,1,1,1,4,4,4,4,4
200,1,1,3,3,3,3,3,3,3,4,4,4
204,4,4,4,4,4,4,4,4,4,4,4,4
205,0,0,0,0,1,1,4,4,4,4,4,4
208,4,4,4,4,4,4,4,4,4,4,4,4
221,4,4,4,4,4,4,4,4,4,4,4,4
224,4,4,4,4,4,4,4,4,4,4,4,4
227,4,4,4,4,4,4,4,4,4,4,4,4
228,4,1,1,1,4,4,4,4,4,4,4,4
229,4,3,4,4,4,4,4,4,4,4,4,4
231,1,1,1,1,1,1,1,1,1,1,1,1
236,1,1,1,1,1,1,1,1,1,1,1,1
237,4,4,4,4,4,4,4,1,1,4,4,4
239,4,4,4,3,3,3,4,4,4,4,4,4
240,1,1,1,1,1,1,1,1,1,1,1,1
242,1,1,1,1,1,1,1,1,1,1,4,4
244,0,0,0,0,0,0,0,0,0,0,0,0
245,1,1,1,1,1,1,1,1,1,1,1,1
249,3,3,3,3,4,4,4,4,4,4,4,4
250,1,1,1,1,1,1,1,1,1,1,1,1
252,3,3,3,3,3,3,3,5,5,5,5,5
254,3,3,3,3,3,3,3,1,1,1,5,5
255,1,1,3,3,3,3,3,3,3,3,5,5
256,4,4,4,4,4,4,4,4,4,4,4,4
258,4,4,4,4,4,4,4,4,4,4,4,4
265,1,1,1,1,1,1,1,1,1,3,3,3
272,1,1,1,1,1,1,1,1,1,1,1,4
275,1,1,1,1,1,1,1,1,1,1,1,1
278,3,3,3,3,3,3,3,3,3,5,5,5
282,1,1,1,1,1,1,1,1,1,1,1,1
285,4,4,4,4,4,4,4,4,4,4,4,4
287,4,4,4,4,4,4,4,4,4,4,4,4
288,4,4,4,4,4,4,4,4,4,4,4,4
289,4,3,3,3,3,4,4,4,4,4,4,4
290,4,4,1,1,1,1,1,0,0,0,0,4
292,1,1,1,1,1,1,4,1,1,1,1,4
293,1,1,1,1,1,1,1,1,1,1,1,1
294,1,1,1,1,1,1,1,1,1,1,1,1
297,0,0,1,1,1,4,4,4,4,4,4,4
305,4,4,4,4,4,4,4,4,4,4,4,4
312,1,1,1,1,1,1,1,1,4,4,4,4
314,1,1,1,1,1,4,4,4,4,4,4,4
322,1,1,1,1,1,1,1,1,1,1,4,4
333,1,1,1,1,1,1,1,1,1,1,1,5
335,1,1,1,1,1,4,4,4,4,4,4,4
338,3,3,3,3,3,4,4,4,4,4,4,4
339,4,4,4,4,4,4,4,4,4,4,4,4
